DFT, Frequency Response Magnitude
Numpoints, 8192
SamplingRate(Hz), 48000.000000
Frequency(Hz), Magnitude(dB)
0.000, 0.0000
2.930, -104.4161
5.859, -105.6531
8.789, -113.3592
11.719, -104.6556
14.648, -112.8025
17.578, -104.5894
20.508, -106.1286
23.438, -100.4167
26.367, -94.3826
29.297, -103.7646
32.227, -104.8028
35.156, -100.0824
38.086, -98.5176
41.016, -105.1685
43.945, -100.9612
46.875, -96.4759
49.805, -101.4401
52.734, -101.6310
55.664, -101.1470
58.594, -102.5750
61.523, -117.2290
64.453, -103.2998
67.383, -97.7538
70.312, -98.9232
73.242, -95.1742
76.172, -111.5060
79.102, -97.4766
82.031, -102.4767
84.961, -101.2505
87.891, -99.8353
90.820, -99.4981
93.750, -91.3489
96.680, -98.9797
99.609, -102.4668
102.539, -95.0130
105.469, -103.8796
108.398, -101.7715
111.328, -99.7595
114.258, -92.6378
117.188, -89.1820
120.117, -96.2872
123.047, -97.7487
125.977, -95.9330
128.906, -100.7513
131.836, -96.9385
134.766, -103.4059
137.695, -97.2441
140.625, -90.4580
143.555, -96.3124
146.484, -101.6393
149.414, -95.2653
152.344, -103.3145
155.273, -100.0047
158.203, -95.6315
161.133, -106.6555
164.062, -90.9854
166.992, -92.5669
169.922, -105.0027
172.852, -96.3142
175.781, -103.4058
178.711, -97.3969
181.641, -97.9227
184.570, -95.0459
187.500, -87.2528
190.430, -95.0426
193.359, -91.6994
196.289, -97.7854
199.219, -101.9954
202.148, -93.3388
205.078, -99.0466
208.008, -94.7369
210.938, -93.2313
213.867, -95.9563
216.797, -98.8913
219.727, -97.2803
222.656, -98.1880
225.586, -91.3146
228.516, -101.2013
231.445, -96.2241
234.375, -88.3685
237.305, -90.8542
240.234, -97.7902
243.164, -103.7043
246.094, -93.4284
249.023, -98.7395
251.953, -104.3187
254.883, -93.0630
257.812, -92.6126
260.742, -97.7812
263.672, -100.0440
266.602, -90.2875
269.531, -100.3864
272.461, -106.2154
275.391, -100.6422
278.320, -96.3240
281.250, -92.1438
284.180, -91.9171
287.109, -92.2775
290.039, -98.9100
292.969, -103.0566
295.898, -92.6113
298.828, -99.1478
301.758, -87.8271
304.688, -91.6329
307.617, -92.8595
310.547, -111.1062
313.477, -98.7164
316.406, -97.3294
319.336, -108.4596
322.266, -95.7431
325.195, -89.1796
328.125, -92.0708
331.055, -95.7178
333.984, -94.5227
336.914, -95.8079
339.844, -94.1053
342.773, -103.0320
345.703, -100.8439
348.633, -92.8228
351.562, -89.3236
354.492, -88.6755
357.422, -95.4074
360.352, -107.3892
363.281, -91.5217
366.211, -101.2418
369.141, -101.7998
372.070, -90.2652
375.000, -86.4956
377.930, -94.2868
380.859, -90.7388
383.789, -91.0828
386.719, -96.4238
389.648, -88.1108
392.578, -97.1380
395.508, -105.1393
398.438, -84.7166
401.367, -86.1980
404.297, -99.0232
407.227, -99.1313
410.156, -104.2839
413.086, -95.0817
416.016, -104.0915
418.945, -103.8594
421.875, -89.3636
424.805, -90.3803
427.734, -107.8864
430.664, -91.7114
433.594, -88.3944
436.523, -122.9171
439.453, -92.3468
442.383, -91.3421
445.312, -89.0051
448.242, -89.4314
451.172, -95.0802
454.102, -100.3527
457.031, -91.6963
459.961, -102.7555
462.891, -100.8698
465.820, -88.1184
468.750, -85.3871
471.680, -89.5988
474.609, -94.6658
477.539, -94.2803
480.469, -89.0101
483.398, -91.3712
486.328, -92.1543
489.258, -87.8283
492.188, -85.2918
495.117, -96.5800
498.047, -90.8437
500.977, -101.8562
503.906, -116.0514
506.836, -88.6026
509.766, -102.6326
512.695, -86.3033
515.625, -91.4472
518.555, -89.8906
521.484, -95.9389
524.414, -98.9857
527.344, -90.8438
530.273, -107.1770
533.203, -94.8340
536.133, -86.6355
539.062, -92.5550
541.992, -87.3591
544.922, -88.4987
547.852, -91.4012
550.781, -93.1954
553.711, -92.2984
556.641, -87.2920
559.570, -97.3656
562.500, -87.1145
565.430, -101.3263
568.359, -95.6286
571.289, -98.5061
574.219, -90.0290
577.148, -93.9478
580.078, -96.2012
583.008, -96.2764
585.938, -82.8301
588.867, -98.7453
591.797, -97.1392
594.727, -83.2842
597.656, -94.5436
600.586, -92.3691
603.516, -89.1657
606.445, -96.3201
609.375, -87.0056
612.305, -87.7450
615.234, -87.8699
618.164, -94.6890
621.094, -90.9296
624.023, -98.4061
626.953, -86.0851
629.883, -89.5356
632.812, -84.5752
635.742, -91.0905
638.672, -89.9393
641.602, -91.5294
644.531, -86.4074
647.461, -91.3681
650.391, -92.3379
653.320, -91.1669
656.250, -83.7325
659.180, -96.3342
662.109, -102.8069
665.039, -93.9313
667.969, -91.8514
670.898, -92.8292
673.828, -88.3003
676.758, -85.7345
679.688, -87.8313
682.617, -93.2252
685.547, -90.5009
688.477, -97.2278
691.406, -91.6558
694.336, -89.3471
697.266, -96.5858
700.195, -91.8756
703.125, -86.9625
706.055, -90.6792
708.984, -106.4798
711.914, -93.2034
714.844, -105.0325
717.773, -101.7340
720.703, -90.7208
723.633, -93.0410
726.562, -84.3054
729.492, -87.9223
732.422, -96.6429
735.352, -99.9603
738.281, -96.3600
741.211, -93.0725
744.141, -85.4296
747.070, -100.9718
750.000, -84.0788
752.930, -85.8787
755.859, -88.0869
758.789, -88.4147
761.719, -88.4389
764.648, -89.7744
767.578, -100.9406
770.508, -86.8203
773.438, -87.0850
776.367, -82.5822
779.297, -92.7241
782.227, -99.9517
785.156, -89.7647
788.086, -99.5831
791.016, -89.6782
793.945, -84.4353
796.875, -85.6337
799.805, -88.2512
802.734, -89.2055
805.664, -96.5928
808.594, -91.6906
811.523, -94.3692
814.453, -93.8720
817.383, -91.3525
820.312, -90.2266
823.242, -89.1981
826.172, -95.8200
829.102, -89.3629
832.031, -90.5197
834.961, -92.8431
837.891, -89.6763
840.820, -84.2903
843.750, -84.5540
846.680, -91.0323
849.609, -88.9625
852.539, -101.5504
855.469, -87.6270
858.398, -94.8391
861.328, -91.8443
864.258, -107.9045
867.188, -88.4936
870.117, -85.9048
873.047, -87.6042
875.977, -84.9617
878.906, -113.8562
