* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 11 févr. 2025 00:11:50
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R févr. 11
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 -58.466 -173.1245
0.368865 -58.468 -173.1027
0.371538 -58.471 -173.0802
0.374230 -58.474 -173.0569
0.376942 -58.478 -173.0331
0.379673 -58.481 -173.0085
0.382424 -58.484 -172.9831
0.385196 -58.487 -172.9571
0.387987 -58.490 -172.9304
0.390798 -58.493 -172.9029
0.393630 -58.497 -172.8746
0.396483 -58.500 -172.8457
0.399356 -58.503 -172.8159
0.402250 -58.506 -172.7854
0.405165 -58.510 -172.7541
0.408101 -58.513 -172.7220
0.411058 -58.517 -172.6891
0.414037 -58.520 -172.6555
0.417037 -58.523 -172.6210
0.420059 -58.527 -172.5856
0.423103 -58.530 -172.5495
0.426169 -58.534 -172.5125
0.429257 -58.537 -172.4747
0.432368 -58.541 -172.4360
0.435501 -58.544 -172.3964
0.438656 -58.548 -172.3560
0.441835 -58.552 -172.3147
0.445037 -58.555 -172.2724
0.448262 -58.559 -172.2293
0.451510 -58.563 -172.1853
0.454782 -58.566 -172.1404
0.458077 -58.570 -172.0945
0.461397 -58.574 -172.0477
0.464740 -58.578 -172.0000
0.468108 -58.582 -171.9513
0.471500 -58.585 -171.9017
0.474917 -58.589 -171.8511
0.478358 -58.593 -171.7995
0.481825 -58.597 -171.7470
0.485316 -58.601 -171.6935
0.488833 -58.605 -171.6389
0.492375 -58.609 -171.5834
0.495943 -58.613 -171.5269
0.499537 -58.617 -171.4693
0.503157 -58.622 -171.4108
0.506803 -58.626 -171.3512
0.510475 -58.630 -171.2905
0.514175 -58.634 -171.2289
0.517900 -58.638 -171.1662
0.521653 -58.643 -171.1024
0.525434 -58.647 -171.0376
0.529241 -58.651 -170.9717
0.533076 -58.656 -170.9048
0.536939 -58.660 -170.8368
0.540830 -58.665 -170.7677
0.544749 -58.669 -170.6976
0.548696 -58.674 -170.6264
0.552673 -58.678 -170.5541
0.556677 -58.683 -170.4807
0.560711 -58.687 -170.4062
0.564774 -58.692 -170.3306
0.568867 -58.697 -170.2540
0.572989 -58.701 -170.1762
0.577141 -58.706 -170.0974
0.581324 -58.711 -170.0175
0.585536 -58.716 -169.9365
0.589779 -58.721 -169.8544
0.594053 -58.725 -169.7712
0.598358 -58.730 -169.6869
0.602694 -58.735 -169.6016
0.607061 -58.740 -169.5152
0.611460 -58.745 -169.4277
0.615891 -58.750 -169.3391
0.620354 -58.755 -169.2495
0.624849 -58.761 -169.1588
0.629377 -58.766 -169.0671
0.633938 -58.771 -168.9743
0.638532 -58.776 -168.8805
0.643159 -58.781 -168.7857
0.647819 -58.787 -168.6899
0.652514 -58.792 -168.5931
0.657242 -58.798 -168.4953
0.662005 -58.803 -168.3965
0.666802 -58.808 -168.2968
0.671634 -58.814 -168.1961
0.676501 -58.819 -168.0945
0.681403 -58.825 -167.9920
0.686341 -58.831 -167.8886
0.691314 -58.836 -167.7843
0.696324 -58.842 -167.6792
0.701370 -58.848 -167.5733
0.706452 -58.854 -167.4666
0.711571 -58.860 -167.3591
0.716728 -58.865 -167.2509
0.721921 -58.871 -167.1419
0.727153 -58.877 -167.0323
0.732422 -58.883 -166.9220
0.737729 -58.888 -166.8103
0.743075 -58.893 -166.6964
0.748460 -58.898 -166.5803
0.753883 -58.903 -166.4620
0.759346 -58.908 -166.3414
0.764849 -58.912 -166.2186
0.770391 -58.917 -166.0936
0.775974 -58.922 -165.9663
0.781597 -58.926 -165.8369
0.787261 -58.931 -165.7052
0.792966 -58.935 -165.5713
0.798712 -58.940 -165.4352
0.804500 -58.944 -165.2968
0.810329 -58.949 -165.1563
0.816201 -58.953 -165.0136
0.822116 -58.957 -164.8688
0.828073 -58.961 -164.7217
0.834074 -58.966 -164.5725
0.840118 -58.970 -164.4212
0.846206 -58.974 -164.2678
0.852338 -58.978 -164.1123
0.858514 -58.983 -163.9547
0.864735 -58.987 -163.7950
0.871001 -58.991 -163.6333
0.877313 -58.995 -163.4697
0.883670 -58.999 -163.3040
0.890074 -59.003 -163.1364
0.896524 -59.008 -162.9669
0.903020 -59.012 -162.7955
0.909564 -59.016 -162.6223
0.916155 -59.020 -162.4473
0.922794 -59.025 -162.2706
0.929481 -59.029 -162.0921
0.936216 -59.034 -161.9120
0.943000 -59.038 -161.7302
0.949834 -59.043 -161.5469
0.956717 -59.047 -161.3621
0.963649 -59.052 -161.1759
0.970632 -59.057 -160.9882
0.977666 -59.062 -160.7993
0.984750 -59.067 -160.6091
0.991886 -59.072 -160.4177
0.999074 -59.077 -160.2252
1.006314 -59.082 -160.0317
1.013606 -59.088 -159.8373
1.020951 -59.094 -159.6420
1.028349 -59.099 -159.4458
1.035801 -59.106 -159.2491
1.043307 -59.112 -159.0517
1.050867 -59.118 -158.8539
1.058482 -59.125 -158.6556
1.066152 -59.132 -158.4571
1.073878 -59.139 -158.2585
1.081660 -59.146 -158.0598
1.089498 -59.154 -157.8611
1.097393 -59.162 -157.6627
1.105345 -59.170 -157.4640
1.113355 -59.178 -157.2639
1.121423 -59.187 -157.0625
1.129549 -59.196 -156.8597
1.137734 -59.205 -156.6554
1.145979 -59.214 -156.4497
1.154283 -59.224 -156.2426
1.162647 -59.233 -156.0340
1.171072 -59.244 -155.8239
1.179558 -59.254 -155.6123
1.188106 -59.264 -155.3991
1.196715 -59.275 -155.1845
1.205387 -59.286 -154.9682
1.214122 -59.297 -154.7504
1.222920 -59.308 -154.5310
1.231782 -59.320 -154.3099
1.240708 -59.331 -154.0872
1.249699 -59.343 -153.8629
1.258754 -59.355 -153.6369
1.267876 -59.367 -153.4092
1.277063 -59.380 -153.1797
1.286318 -59.392 -152.9486
1.295639 -59.405 -152.7157
1.305027 -59.417 -152.4811
1.314484 -59.430 -152.2446
1.324009 -59.443 -152.0064
1.333604 -59.456 -151.7664
1.343268 -59.469 -151.5245
1.353002 -59.483 -151.2809
1.362806 -59.496 -151.0353
1.372681 -59.509 -150.7879
1.382628 -59.522 -150.5387
1.392647 -59.536 -150.2875
1.402739 -59.549 -150.0344
1.412904 -59.563 -149.7795
1.423142 -59.576 -149.5226
1.433455 -59.589 -149.2638
1.443843 -59.602 -149.0031
1.454305 -59.616 -148.7404
1.464844 -59.629 -148.4758
1.475459 -59.642 -148.2092
1.486150 -59.655 -147.9403
1.496920 -59.668 -147.6693
1.507767 -59.682 -147.3960
1.518693 -59.695 -147.1205
1.529698 -59.709 -146.8427
1.540783 -59.722 -146.5627
1.551948 -59.736 -146.2804
1.563194 -59.750 -145.9958
1.574521 -59.764 -145.7090
1.585931 -59.778 -145.4198
1.597423 -59.792 -145.1284
1.608999 -59.806 -144.8347
1.620658 -59.820 -144.5386
1.632402 -59.835 -144.2403
1.644232 -59.849 -143.9396
1.656146 -59.863 -143.6366
1.668147 -59.878 -143.3313
1.680235 -59.892 -143.0237
1.692411 -59.907 -142.7138
1.704675 -59.921 -142.4016
1.717028 -59.936 -142.0870
1.729470 -59.950 -141.7702
1.742003 -59.965 -141.4510
1.754626 -59.980 -141.1296
1.767341 -59.994 -140.8058
1.780147 -60.009 -140.4799
1.793047 -60.024 -140.1516
1.806040 -60.038 -139.8212
1.819128 -60.053 -139.4885
1.832310 -60.067 -139.1536
1.845587 -60.082 -138.8161
1.858961 -60.096 -138.4758
1.872432 -60.109 -138.1327
1.886001 -60.123 -137.7869
1.899667 -60.136 -137.4383
1.913433 -60.149 -137.0869
1.927299 -60.162 -136.7328
1.941265 -60.175 -136.3760
1.955332 -60.188 -136.0165
1.969501 -60.200 -135.6543
1.983773 -60.213 -135.2893
1.998148 -60.226 -134.9217
2.012627 -60.239 -134.5514
2.027212 -60.252 -134.1784
2.041902 -60.266 -133.8027
2.056698 -60.280 -133.4243
2.071602 -60.294 -133.0431
2.086614 -60.309 -132.6591
2.101734 -60.325 -132.2724
2.116964 -60.341 -131.8829
2.132304 -60.358 -131.4905
2.147756 -60.375 -131.0952
2.163320 -60.394 -130.6969
2.178996 -60.413 -130.2956
2.194786 -60.434 -129.8912
2.210690 -60.455 -129.4834
2.226710 -60.478 -129.0716
2.242845 -60.502 -128.6558
2.259098 -60.527 -128.2359
2.275468 -60.552 -127.8119
2.291957 -60.579 -127.3838
2.308566 -60.606 -126.9513
2.325295 -60.634 -126.5146
2.342145 -60.663 -126.0737
2.359117 -60.692 -125.6283
2.376212 -60.722 -125.1786
2.393431 -60.752 -124.7245
2.410775 -60.783 -124.2660
2.428244 -60.814 -123.8031
2.445840 -60.846 -123.3358
2.463564 -60.877 -122.8641
2.481416 -60.909 -122.3879
2.499397 -60.940 -121.9074
2.517509 -60.972 -121.4225
2.535752 -61.003 -120.9333
2.554127 -61.034 -120.4399
2.572635 -61.064 -119.9421
2.591277 -61.094 -119.4393
2.610055 -61.125 -118.9312
2.628968 -61.155 -118.4175
2.648019 -61.185 -117.8980
2.667208 -61.215 -117.3727
2.686535 -61.246 -116.8413
2.706003 -61.276 -116.3036
2.725612 -61.307 -115.7595
2.745363 -61.338 -115.2088
2.765257 -61.369 -114.6513
2.785295 -61.401 -114.0870
2.805478 -61.433 -113.5156
2.825808 -61.466 -112.9371
2.846285 -61.499 -112.3514
2.866910 -61.533 -111.7583
2.887685 -61.568 -111.1578
2.908611 -61.603 -110.5499
2.929688 -61.640 -109.9344
2.950917 -61.678 -109.3103
2.972301 -61.717 -108.6766
2.993839 -61.758 -108.0333
3.015534 -61.799 -107.3805
3.037386 -61.842 -106.7182
3.059396 -61.886 -106.0466
3.081565 -61.931 -105.3659
3.103896 -61.975 -104.6761
3.126388 -62.020 -103.9776
3.149043 -62.065 -103.2707
3.171862 -62.109 -102.5555
3.194847 -62.153 -101.8325
3.217998 -62.195 -101.1021
3.241317 -62.236 -100.3646
3.264805 -62.276 -99.6207
3.288463 -62.314 -98.8708
3.312293 -62.350 -98.1143
3.336295 -62.383 -97.3474
3.360471 -62.415 -96.5706
3.384822 -62.444 -95.7843
3.409350 -62.473 -94.9891
3.434056 -62.500 -94.1855
3.458940 -62.527 -93.3742
3.484005 -62.553 -92.5555
3.509252 -62.579 -91.7301
3.534681 -62.605 -90.8985
3.560295 -62.632 -90.0613
3.586094 -62.660 -89.2188
3.612081 -62.689 -88.3717
3.638255 -62.720 -87.5202
3.664620 -62.754 -86.6649
3.691175 -62.789 -85.8027
3.717923 -62.826 -84.9315
3.744864 -62.864 -84.0518
3.772001 -62.904 -83.1636
3.799335 -62.944 -82.2673
3.826866 -62.985 -81.3633
3.854597 -63.027 -80.4521
3.882529 -63.069 -79.5340
3.910664 -63.112 -78.6095
3.939002 -63.154 -77.6791
3.967546 -63.197 -76.7435
3.996296 -63.239 -75.8033
4.025255 -63.280 -74.8590
4.054423 -63.321 -73.9080
4.083804 -63.361 -72.9459
4.113396 -63.401 -71.9731
4.143204 -63.441 -70.9905
4.173227 -63.481 -69.9988
4.203468 -63.521 -68.9990
4.233928 -63.561 -67.9922
4.264609 -63.602 -66.9797
4.295512 -63.644 -65.9626
4.326639 -63.686 -64.9425
4.357992 -63.730 -63.9210
4.389572 -63.775 -62.8997
4.421380 -63.822 -61.8801
4.453419 -63.869 -60.8606
4.485691 -63.918 -59.8394
4.518196 -63.968 -58.8144
4.550936 -64.019 -57.7835
4.583914 -64.071 -56.7445
4.617131 -64.123 -55.6950
4.650589 -64.176 -54.6325
4.684289 -64.229 -53.5543
4.718233 -64.283 -52.4578
4.752424 -64.337 -51.3400
4.786862 -64.391 -50.1982
4.821549 -64.447 -49.0312
4.856488 -64.503 -47.8399
4.891680 -64.560 -46.6257
4.927127 -64.618 -45.3901
4.962831 -64.676 -44.1349
4.998794 -64.734 -42.8625
5.035017 -64.791 -41.5753
5.071503 -64.848 -40.2763
5.108253 -64.903 -38.9686
5.145270 -64.957 -37.6530
